Specimen ID,Sex,Family name,Latin Name,'County',year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,total body length,tail length,hindfoot length,,,,,,,
15667,M,'SORICIDAE','BLARINA BREVICAUDA','ANOKA',1982,City,12.06,6.89,12.69,119,25,17,,,,,,,
16517,F,'SORICIDAE','BLARINA BREVICAUDA','LAC QUI PARLE',1991,Rural,12.43,7.39,12.66,134,30,16,,,,,,,
16518,M,'SORICIDAE','BLARINA BREVICAUDA','LAC QUI PARLE',1991,Rural,12.04,7.39,13.35,135,29,17,,,,,,,
16688,M,'SORICIDAE','BLARINA BREVICAUDA','CHISAGO',1987,ag,11.77,6.76,12.92,131,26,18,,,,,,,
17925,F,'SORICIDAE','BLARINA BREVICAUDA','POLK',1998,ag,12.38,7.18,13.03,127,24,15,,,,,,,
17927,M,'SORICIDAE','BLARINA BREVICAUDA','POPE',1998,ag,11.63,7.07,13.32,130,26,15,,,,,,,
18278,M,'SORICIDAE','BLARINA BREVICAUDA','HENNEPIN',1997,City,12.17,7.07,13.78,132,22,17,,,,,,,
18318,F,'SORICIDAE','BLARINA BREVICAUDA','HUBBARD',1999,non-ag,11.28,6.64,12.21,104,19,14,,,,,,,
19012,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','CARLTON',2004,Rural,11.88,6.64,12.85,110,26,21,,,,,,,
19013,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','CARLTON',2005,Rural,12.11,7.11,13.44,116,26,16,,,,,,,
19088,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','CARLTON',2005,non-ag,12.36,7.11,12.89,118,25,17,,,,,,,
19089,UNKNOWN,'SORICIDAE','BLARINA BREVICAUDA','CARLTON',2005,non-ag,12.06,7.3,12.49,109,18,15,,,,,,,
744,F,'MURIDAE','CLETHRIONOMYS GAPPERI','MARSHALL',1929,Rural,11.77,6.92,10.64,138,40,18,,,,,,,
746,M,'MURIDAE','CLETHRIONOMYS GAPPERI','KITTSON',1929,Rural,12.61,7.58,11.27,142,39,19,,,,,,,
1582,M,'MURIDAE','CLETHRIONOMYS GAPPERI','CLEARWATER',1938,Rural,12.66,7.37,11.23,126,35,16,,,,,,,
2449,F,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1947,City,12.73,8.23,11.17,119,30,18,,,,,,,
2453,F,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1947,City,11.87,6.99,10.56,96,26,16,,,,,,,
2492,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1948,City,12.23,7.3,10.86,125,34,18,,,,,,,
2604,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ISANTI',1948,Rural,12.03,7.64,10.8,116,30,17,,,,,,,
2754,F,'MURIDAE','CLETHRIONOMYS GAPPERI','CLEARWATER',1949,Rural,12.6,7.64,11.33,149,40,18,,,,,,,
2910,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1950,City,11.65,7.56,10.69,111,30,18,,,,,,,
3208,M,'MURIDAE','CLETHRIONOMYS GAPPERI','MORRISON',1951,Rural,12.84,8.04,11.61,121,35,19,,,,,,,
3335,F,'MURIDAE','CLETHRIONOMYS GAPPERI','HENNEPIN',1952,City,12.01,7.98,11.19,131,37,12,,,,,,,
4005,F,'MURIDAE','CLETHRIONOMYS GAPPERI','CLEARWATER',1957,Rural,11.98,7.22,10.94,134,32,16,,,,,,,
4403,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1933,City,12.78,7.62,11.52,124,33,18,,,,,,,
4435,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1932,City,12.21,7.5,10.04,127,35,16,,,,,,,
5076,F,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1958,City,11.86,7.28,11.33,116,27,17,,,,,,,
5580,F,'MURIDAE','CLETHRIONOMYS GAPPERI','RAMSEY',1960,City,12.19,7.47,10.96,134,36,17,,,,,,,
8668,F,'MURIDAE','CLETHRIONOMYS GAPPERI','AITKIN',1967,Rural,12.32,7.26,11.04,122,31,17,,,,,,,
9001,M,'MURIDAE','CLETHRIONOMYS GAPPERI','MARSHALL',1968,Rural,12.41,7.24,10.3,111,30,17,,,,,,,
9013,M,'MURIDAE','CLETHRIONOMYS GAPPERI','RAMSEY',1968,City,12.39,7.1,11.02,140,39,17,,,,,,,
9014,F,'MURIDAE','CLETHRIONOMYS GAPPERI','RAMSEY',1968,City,12.3,7.72,11.22,143,37,17,,,,,,,
13214,F,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1975,City,11.64,6.84,11.05,117,31,18,,,,,,,
13215,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1974,City,12.52,7.64,10.99,132,37,19,,,,,,,
14333,F,'MURIDAE','CLETHRIONOMYS GAPPERI','PINE',1980,Rural,12.3,7.27,11.63,130,36,19,,,,,,,
14457,M,'MURIDAE','CLETHRIONOMYS GAPPERI','ANOKA',1979,City,13.05,7.52,11.14,119,27,17,,,,,,,
14464,F,'MURIDAE','CLETHRIONOMYS GAPPERI','MAHNOMEN',1979,Rural,11.56,7.14,10.48,129,37,16,,,,,,,
14473,M,'MURIDAE','CLETHRIONOMYS GAPPERI','WRIGHT',1979,Rural,12.19,7.56,10.9,120,30,17,,,,,,,
15548,M,'MURIDAE','CLETHRIONOMYS GAPPERI','WASHINGTON',1988,City,12.77,7.19,10.69,133,32,17,,,,,,,
15551,M,'MURIDAE','CLETHRIONOMYS GAPPERI','WASHINGTON',1988,City,12.25,7.82,10.9,116,30,17,,,,,,,
15558,F,'MURIDAE','CLETHRIONOMYS GAPPERI','WASHINGTON',1988,City,13.25,7.97,11.34,125,28,18,,,,,,,
16705,M,'MURIDAE','CLETHRIONOMYS GAPPERI','CHISAGO',1987,Rural,12.56,7.29,11.03,111,26,18,,,,,,,
18037,F,'MURIDAE','CLETHRIONOMYS GAPPERI','POLK',1998,Rural,12.55,7.1,10.93,129,31,17,,,,,,,
18356,M,'MURIDAE','CLETHRIONOMYS GAPPERI','CLEARWATER',1999,Rural,12.21,7.41,11.35,130,42,16,,,,,,,
19062,F,'MURIDAE','CLETHRIONOMYS GAPPERI','CARLTON',2005,Rural,12.47,7.24,11.11,112,32,20,,,,,,,
962,UNKNOWN,'TALPIDAE','CONDYLURA CRISTATA','CHISAGO',1932,Rural,16.47,7.86,12.99,172.7,68.6,27.9,,,,,,,
2840,M,'TALPIDAE','CONDYLURA CRISTATA','ST. LOUIS',1944,Rural,16.28,8.35,13.48,172,68,28,,,,,,,
2842,M,'TALPIDAE','CONDYLURA CRISTATA','BECKER',1942,Rural,15.72,8.53,12.51,201,88,25,,,,,,,
5587,M,'TALPIDAE','CONDYLURA CRISTATA','BELTRAMI',1960,Rural,15.71,8.25,13.15,195,74,27,,,,,,,
5927,M,'TALPIDAE','CONDYLURA CRISTATA','CARLTON',1958,Rural,15.23,8,13.43,211,79,27,,,,,,,
7926,F,'TALPIDAE','CONDYLURA CRISTATA','ST. LOUIS',1966,Rural,16.03,9.59,12.94,178,66,27,,,,,,,
7927,M,'TALPIDAE','CONDYLURA CRISTATA','ITASCA',1966,Rural,17.3,9.25,13.69,183,72,27.5,,,,,,,
8152,M,'TALPIDAE','CONDYLURA CRISTATA','MILLE LACS',1967,Rural,16.52,9.27,13.08,191,75,28,,,,,,,
11328,M,'TALPIDAE','CONDYLURA CRISTATA','COOK',1972,Rural,15.72,8.77,13.36,185,80,26,,,,,,,
11333,F,'TALPIDAE','CONDYLURA CRISTATA','COOK',1972,Rural,15.95,9.13,13.41,203,80,27,,,,,,,
11334,F,'TALPIDAE','CONDYLURA CRISTATA','COOK',1972,Rural,16.41,9.39,13.76,200,78,26,,,,,,,
1413,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1940,City,9.97,5.73,8.73,109,39.5,11,,,,,,,
1416,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','WASHINGTON',1940,City,10.58,5.62,8.29,108,43,10,,,,,,,
1417,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','WASHINGTON',1940,City,10.37,5.88,8.44,107.5,39,10.5,,,,,,,
1978,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1946,City,9.74,5.58,8.46,108,38,10,,,,,,,
2284,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','FILLMORE',1947,Rural,9.34,5.32,8.91,108,38,12,,,,,,,
2285,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','FILLMORE',1947,Rural,10.03,5.18,8.7,114,42,12,,,,,,,
2286,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','FILLMORE',1947,Rural,9.61,5.51,8.73,116,43,13,,,,,,,
3171,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1951,City,9.89,5.37,8.57,113,41,12,,,,,,,
3673,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1959,City,9.37,5.24,8.72,105,27,11,,,,,,,
4230,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','WASHINGTON',1958,City,10.11,5.58,8.68,106,40,13,,,,,,,
4345,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','BLUE EARTH',1958,Rural,9.43,5.7,8.57,109,46,10,,,,,,,
4346,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','BLUE EARTH',1958,Rural,9.8,5.65,8.96,114,46,11,,,,,,,
4505,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1958,City,10.32,5.62,8.95,120,44,12,,,,,,,
4893,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1960,City,10.39,5.57,8.53,116,42,13,,,,,,,
4938,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','GOODHUE',1958,Rural,9.76,5.47,9.16,103,41,12,,,,,,,
4941,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','MARTIN',1959,Rural,10.25,5.37,8.61,123,53,11,,,,,,,
5908,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','GOODHUE',1958,Rural,9.83,5.44,8.78,110,45,14,,,,,,,
6020,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','RAMSEY',1960,City,9.94,5.51,8.81,118,47,12,,,,,,,
7628,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','BROWN',1966,Rural,9.73,5.69,9.03,122,41,11,,,,,,,
8100,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','PINE',1967,Rural,10.26,5.78,9.28,120,43,13,,,,,,,
11630,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1972,City,10.19,5.52,9.07,145,40,12,,,,,,,
11631,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','HENNEPIN',1972,City,9.92,5.5,8.85,118,47,12,,,,,,,
16694,F,'VESPERTILIONIDAE','EPTESICUS FUSCUS','PINE',1986,Rural,10.57,5.82,9.26,116,40,12,,,,,,,
18383,UNKNOWN,'VESPERTILIONIDAE','EPTESICUS FUSCUS','RAMSEY',1937,City,10.34,5.79,8.78,111,45,13,,,,,,,
19026,M,'VESPERTILIONIDAE','EPTESICUS FUSCUS','RAMSEY',1995,City,10.07,5.73,8.39,105,45,12,,,,,,,
146,F,'GEOMYIDAE','GEOMYS BURSARIUS','SHERBURNE',1916,Rural,20.82,13.03,15.51,225,64,30,,,,,,,
147,M,'GEOMYIDAE','GEOMYS BURSARIUS','SHERBURNE',1916,Rural,20.53,13.69,15.2,228,72,31,,,,,,,
148,M,'GEOMYIDAE','GEOMYS BURSARIUS','SHERBURNE',1919,Rural,23.7,16.48,16.83,290,78,33,,,,,,,
734,UNKNOWN,'GEOMYIDAE','GEOMYS BURSARIUS','KITTSON',1929,Rural,24.7,17,17.95,305,81,39,,,,,,,
1136,UNKNOWN,'GEOMYIDAE','GEOMYS BURSARIUS','HENNEPIN',1935,City,22.98,14.42,16.08,276.9,76.2,35.6,,,,,,,
1184,UNKNOWN,'GEOMYIDAE','GEOMYS BURSARIUS','HENNEPIN',1936,City,20.79,13.12,14.91,210.8,69.9,31.75,,,,,,,
1808,M,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1938,City,22.15,15.04,16.19,263,71,31.5,,,,,,,
1892,F,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1942,City,21.43,13.78,15.67,190,74,34,,,,,,,
2439,F,'GEOMYIDAE','GEOMYS BURSARIUS','TRAVERSE',1947,Rural,22.54,15.28,15.78,260,85,34,,,,,,,
2441,F,'GEOMYIDAE','GEOMYS BURSARIUS','POLK',1947,Rural,22.35,15.08,15.88,280,92,35,,,,,,,
3325,F,'GEOMYIDAE','GEOMYS BURSARIUS','ANOKA',1952,City,20.79,13.79,16.12,261,77,36,,,,,,,
4192,F,'GEOMYIDAE','GEOMYS BURSARIUS','GOODHUE',1957,Rural,20.81,13.43,15.68,227,64,33,,,,,,,
5110,M,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1958,City,22.59,14.36,16.6,269,66,33,,,,,,,
5112,M,'GEOMYIDAE','GEOMYS BURSARIUS','CLEARWATER',1959,Rural,19,11.63,14.42,200,50,28,,,,,,,
5556,F,'GEOMYIDAE','GEOMYS BURSARIUS','HENNEPIN',1958,City,23.53,14.15,16.14,268,85,35,,,,,,,
6066,M,'GEOMYIDAE','GEOMYS BURSARIUS','MORRISON',1961,Rural,22.78,15.4,16.61,291,70,36,,,,,,,
7288,M,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1961,City,23.85,16.09,17.61,282,77,34,,,,,,,
7306,F,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1961,City,22.68,14.58,15.76,268,73,34,,,,,,,
7308,F,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1961,City,23.16,14.7,15.9,249,72,33,,,,,,,
7313,M,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1961,City,23.72,15.07,16.26,279,64,34,,,,,,,
7883,F,'GEOMYIDAE','GEOMYS BURSARIUS','PINE',1966,Rural,21.74,14.04,15.53,245,67,31,,,,,,,
11643,M,'GEOMYIDAE','GEOMYS BURSARIUS','HENNEPIN',1971,City,22.88,13.75,15.77,268,78,34,,,,,,,
12353,M,'GEOMYIDAE','GEOMYS BURSARIUS','DAKOTA',1973,City,22.95,16.02,16.38,265,85,34,,,,,,,
12354,M,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',1973,City,24.95,15.88,16.38,283,81,36,,,,,,,
13290,F,'GEOMYIDAE','GEOMYS BURSARIUS','WINONA',1975,Rural,22.3,14.03,15.57,255,77,33,,,,,,,
14428,F,'GEOMYIDAE','GEOMYS BURSARIUS','ANOKA',1979,City,22.48,14.39,15.4,235,73,31,,,,,,,
14584,F,'GEOMYIDAE','GEOMYS BURSARIUS','LYON',1982,Rural,23.71,14.95,16.75,278,74,35,,,,,,,
14707,M,'GEOMYIDAE','GEOMYS BURSARIUS','REDWOOD',1983,Rural,22.93,15.95,16.46,286,91,40,,,,,,,
15197,F,'GEOMYIDAE','GEOMYS BURSARIUS','WILKIN',1988,Rural,22.69,14.98,17.16,267,67,33,,,,,,,
18346,F,'GEOMYIDAE','GEOMYS BURSARIUS','BECKER',1999,Rural,18.92,12.85,14.58,197,47,29,,,,,,,
18552,F,'GEOMYIDAE','GEOMYS BURSARIUS','SHERBURNE',2001,Rural,21.97,14.73,15.64,229,68,33,,,,,,,
18617,F,'GEOMYIDAE','GEOMYS BURSARIUS','RAMSEY',2001,City,21.2,14.08,15.16,243,64,34,,,,,,,
2740,M,'VESPERTILIONIDAE','LASIONYCTERIS NOCTIVAGANS','CLEARWATER',1949,Rural,8.34,5.25,8.24,93,44,10,,,,,,,
8041,M,'VESPERTILIONIDAE','LASIONYCTERIS NOCTIVAGANS','WADENA',1968,Rural,8.79,5.34,8.34,101,46,10,,,,,,,
15154,M,'VESPERTILIONIDAE','LASIONYCTERIS NOCTIVAGANS','CLAY',1988,Rural,8.58,5.55,8.54,114,39,10,,,,,,,
18327,F,'VESPERTILIONIDAE','LASIONYCTERIS NOCTIVAGANS','CLEARWATER',1999,Rural,8.72,5.84,8.59,102,39,8,,,,,,,
18384,F,'VESPERTILIONIDAE','LASIONYCTERIS NOCTIVAGANS','WABASHA',1983,Rural,9.02,5.38,8.16,105,45,8,,,,,,,
1567,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','CARVER',1941,Rural,7.99,6.03,7.73,108,46,8,,,,,,,
1568,M,'VESPERTILIONIDAE','LASIURUS BOREALIS','CARVER',1941,Rural,7.68,5.62,7.29,97,44,7,,,,,,,
11363,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','COOK',1972,Rural,8.17,6.38,7.9,116,52,10,,,,,,,
12756,M,'VESPERTILIONIDAE','LASIURUS BOREALIS','CLEARWATER',1965,Rural,8.62,5.85,7.84,94,42,9,,,,,,,
12757,M,'VESPERTILIONIDAE','LASIURUS BOREALIS','LINCOLN',1966,Rural,7.93,5.58,7.37,90,45,7,,,,,,,
14576,M,'VESPERTILIONIDAE','LASIURUS BOREALIS','WINONA',1982,Rural,8.31,6.13,7.74,111,42,9,,,,,,,
14577,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','WINONA',1982,Rural,8.38,5.76,7.65,113,44,10,,,,,,,
14578,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','WINONA',1982,Rural,8.16,5.74,7.66,109,40,9,,,,,,,
15155,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','CLAY',1988,Rural,8.21,5.82,7.96,115,46,9,,,,,,,
15156,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','CLAY',1988,Rural,8.85,6.01,7.89,110,42,8,,,,,,,
15157,F,'VESPERTILIONIDAE','LASIURUS BOREALIS','LAC QUI PARLE',1988,Rural,8.22,6.16,7.92,105,43,7,,,,,,,
43,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','WASECA',1910,Rural,10.68,6.8,10.26,136.5,66.7,14.3,,,,,,,
4088,UNKNOWN,'VESPERTILIONIDAE','LASIURUS CINEREUS','NORMAN',1956,Rural,10.46,6.43,10.02,131,55,12,,,,,,,
4939,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','CLEARWATER',1959,Rural,10.27,6.56,9.81,136,55,11,,,,,,,
7630,M,'VESPERTILIONIDAE','LASIURUS CINEREUS','ST. LOUIS',1966,Rural,10.5,7.47,9.93,133,42,11,,,,,,,
7631,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','ST. LOUIS',1966,Rural,10.95,7.03,10.11,138,48,10,,,,,,,
8101,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','COOK',1967,Rural,10.71,6.77,10.1,130,54,12.5,,,,,,,
15160,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','CLAY',1988,Rural,10.58,7.18,10.47,140,57,11,,,,,,,
15161,M,'VESPERTILIONIDAE','LASIURUS CINEREUS','CLAY',1988,Rural,10.37,6.78,9.57,130,56,10,,,,,,,
18385,F,'VESPERTILIONIDAE','LASIURUS CINEREUS','COTTONWOOD',1994,Rural,10.79,6.93,10.24,124,53,12,,,,,,,
